Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22
Model:,LI-7810,,,,,,,,,,,,,,,,,,,,
SN:,TG10-01593,,,,,,,,,,,,,,,,,,,,
Software Version:,2.3.8,,,,,,,,,,,,,,,,,,,,
Timestamp:,2023-07-06 12:50:04,,,,,,,,,,,,,,,,,,,,
Timezone:,US/Eastern,,,,,,,,,,,,,,,,,,,,
DATAH,SECONDS,NANOSECONDS,NDX,DIAG,REMARK,DATE,TIME,H2O,CO2,CH4,CAVITY_P,CAVITY_T,LASER_PHASE_P,LASER_T,RESIDUAL,RING_DOWN_TIME,THERMAL_ENCLOSURE_T,PHASE_ERROR,LASER_T_SHIFT,INPUT_VOLTAGE,CHK
DATAU,secs,nsecs,index,diag,,date,time,ppm,ppm,ppb,kPa,°C,kPa,°C,,µsecs,°C,counts,°C,V,CHK
DATA,1688662306,35989046,417,256,,2023-07-06,12:51:46,nan,nan,nan,101.379,27.0158,101.03,37.4037,0,0,27.0614,-16000,0,16.2298, 43
DATA,1688662307,35679101,421,256,,2023-07-06,12:51:47,nan,nan,nan,101.379,27.0336,101.03,37.4037,0,0,27.0833,-16000,0,16.229,229
DATA,1688662308,35679101,425,256,,2023-07-06,12:51:48,nan,nan,nan,101.378,27.0513,101.031,37.4037,0,0,27.1054,-16000,0,16.2283, 70
DATA,1688662309,35679101,429,256,,2023-07-06,12:51:49,nan,nan,nan,101.378,27.0689,101.03,37.4037,0,0,27.127,-16000,0,16.2275,250
DATA,1688662310,35679101,433,256,,2023-07-06,12:51:50,nan,nan,nan,101.378,27.0872,101.03,37.4037,0,0,27.1483,-16000,0,16.2271, 17
DATA,1688662311,35679101,437,256,,2023-07-06,12:51:51,nan,nan,nan,101.378,27.1054,101.03,37.4037,0,0,27.17,-16000,0,16.2263,169
DATA,1688662312,35679101,441,256,,2023-07-06,12:51:52,nan,nan,nan,101.378,27.1232,101.028,37.4037,0,0,27.1913,-16000,0,16.2259, 70
DATA,1688662313,35679101,445,256,,2023-07-06,12:51:53,nan,nan,nan,101.377,27.1392,101.028,37.4037,0,0,27.2112,-16000,0,16.2243, 67
DATA,1688662314,35679101,449,256,,2023-07-06,12:51:54,nan,nan,nan,101.378,27.1568,101.03,37.4037,0,0,27.2325,-16000,0,16.2235, 31
DATA,1688662315,35362958,453,256,,2023-07-06,12:51:55,nan,nan,nan,101.378,27.1743,101.028,37.4037,0,0,27.2543,-16000,0,16.222, 35
DATA,1688662316,35362958,457,256,,2023-07-06,12:51:56,nan,nan,nan,101.378,27.1921,101.03,37.4037,0,0,27.2763,-16000,0,16.222,244
DATA,1688662317,35362958,461,256,,2023-07-06,12:51:57,nan,nan,nan,101.38,27.2096,101.03,37.4037,0,0,27.2975,-16000,0,16.2212,244
DATA,1688662318,35362958,465,256,,2023-07-06,12:51:58,nan,nan,nan,101.379,27.227,101.03,37.4037,0,0,27.3188,-16000,0,16.2212,249
DATA,1688662319,35362958,469,256,,2023-07-06,12:51:59,nan,nan,nan,101.38,27.2443,101.03,37.4037,0,0,27.3404,-16000,0,16.22,141
DATA,1688662320,35362958,473,256,,2023-07-06,12:52:00,nan,nan,nan,101.379,27.2625,101.03,37.4037,0,0,27.3619,-16000,0,16.2196, 35
DATA,1688662321,35362958,477,256,,2023-07-06,12:52:01,nan,nan,nan,101.38,27.2794,101.03,37.4037,0,0,27.3823,-16000,0,16.2188,246
DATA,1688662322,35049915,481,256,,2023-07-06,12:52:02,nan,nan,nan,101.378,27.296,101.029,37.4037,0,0,27.4026,-16000,0,16.2181, 29
DATA,1688662323,35049915,485,256,,2023-07-06,12:52:03,nan,nan,nan,101.38,27.3133,101.03,37.4037,0,0,27.4243,-16000,0,16.2177,227
DATA,1688662324,35049915,489,256,,2023-07-06,12:52:04,nan,nan,nan,101.378,27.3306,101.028,37.4037,0,0,27.4459,-16000,0,16.2173, 94
DATA,1688662325,35049915,493,256,,2023-07-06,12:52:05,nan,nan,nan,101.378,27.3479,101.03,37.4037,0,0,27.4672,-16000,0,16.2169, 49
DATA,1688662326,35049915,497,256,,2023-07-06,12:52:06,nan,nan,nan,101.378,27.3654,101.028,37.4037,0,0,27.4884,-16000,0,16.2165,106
DATA,1688662327,35049915,501,256,,2023-07-06,12:52:07,nan,nan,nan,101.377,27.3826,101.027,37.4037,0,0,27.5097,-16000,0,16.2157, 91
